<!--ELEMENTALIST-->

new entry "Zone_WintersBreath_Elemental_Water"
type "SpellData"
data "SpellType" "Zone"
data "SurfaceType" "WaterFrozen"
data "SurfaceLifetime" "2"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "10"
data "SpellRoll" "not SavingThrow(Ability.Constitution, SourceSpellDC())"
data "SpellSuccess" "IF(HasStatus('BURNING')):ApplyStatus(BRITTLE,100,1);RemoveStatus(BURNING);DealDamage(LevelMapValue(D8Cantrip),Cold,Magical)"
data "SpellFail" "DealDamage(LevelMapValue(D8Cantrip)/2,Cold,Magical)"
data "TargetConditions" "not Dead() and not Item()"
data "Icon" "Action_Monster_ElementalWater_WintersBreath"
data "DisplayName" "h8f823f63g0808g4bbfgabb7gdc23be376f8f;2"
data "Description" "h90c9ab3ag24c1g4601gb9ccg1ec3fa7378ec;4"
data "TooltipDamageList" "DealDamage(LevelMapValue(D8Cantrip),Cold)"
data "TooltipStatusApply" "ApplyStatus(BRITTLE,100,1)"
data "PrepareSound" "CrSpell_Prepare_ElementalWater_WintersBreath"
data "PrepareLoopSound" "CrSpell_Loop_ElementalWater_WintersBreath"
data "CastSound" "CrSpell_Cast_ElementalWater_WintersBreath"
data "TargetSound" "CrSpell_Impact_ElementalWater_WintersBreath"
data "CastTextEvent" "Cast"
data "Shape" "Cone"
data "FrontOffset" "-2"
data "Range" "6"
data "Angle" "60"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;463e2894-de95-4ad2-a991-a265e210af8c,,;b57f0afb-706f-4c04-9fb4-413a2a5baa8f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellFlags" "IsHarmful;CanAreaDamageEvade"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "d4f6f295-22e6-40e4-94d6-dbcbfa281188"
data "CastEffect" "076e3154-3fec-439a-ba04-e784aad9ad93"
data "DamageType" "Cold"
data "Sheathing" "DontChange"
