<!--DISPLACER BEAST-->

new entry "Teleportation_Displacement_DisplacerBeast"
type "SpellData"
data "SpellType" "Teleportation"
data "TargetRadius" "3"
data "AreaRadius" "18"
data "LineOfSightFlags" "AddSourceHeight"
data "SpellProperties" "GROUND:TeleportSource()"
data "OriginSpellRoll" "SpellAutoResolveOnAlly(Ability.Intelligence, SourceSpellDC(),true)"
data "OriginSpellSuccess" "IF(not Ally()):DealDamage(LevelMapValue(D8Cantrip),Psychic,Magical)"
data "OriginTargetConditions" "Character() and not Self()"
data "TeleportSelf" "Yes"
data "Icon" "Action_Monster_DisplacerBeast_Displacement"
data "DisplayName" "ha87e063cg90aag4085g94bbg77b7f2d5f6e2;2"
data "Description" "h50825fb4g9c1ag4146g9efeg716406s8e6f8;3"
data "TooltipDamageList" "DealDamage(LevelMapValue(D8Cantrip),Psychic,Magical)"
data "PrepareSound" "CrSpell_Prepare_DisplacerBeast_CreateIllusion"
data "PrepareLoopSound" "CrSpell_Loop_DisplacerBeast_CreateIllusion"
data "CastSound" "CrSpell_Cast_DisplacerBeast_Displacement"
data "TargetSound" "CrSpell_Impact_DisplacerBeast_Displacement"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "706802ee-6e7d-493d-be83-a084f143d324,,;f01ea58e-4d47-43a5-ad91-49b5eb4874c1,f01ea58e-4d47-43a5-ad91-49b5eb4874c1,f01ea58e-4d47-43a5-ad91-49b5eb4874c1;fa13c7e8-c3c6-4283-9902-9c713c77890d,fa13c7e8-c3c6-4283-9902-9c713c77890d,fa13c7e8-c3c6-4283-9902-9c713c77890d;4835ada3-f7b1-49f7-bb8f-97717e815b73,4835ada3-f7b1-49f7-bb8f-97717e815b73,4835ada3-f7b1-49f7-bb8f-97717e815b73;d443e539-c075-4668-8f1b-27bc6ec0d93e,,;b4da441e-f29d-47ba-994f-712ddf7846d2,b4da441e-f29d-47ba-994f-712ddf7846d2,b4da441e-f29d-47ba-994f-712ddf7846d2;44f61263-12c9-4bd6-b874-4d3d2475f414,,;,,;,,"
data "SpellAnimationIntentType" "Aggressive"
data "VerbalIntent" "Utility"
data "PrepareEffect" "4df27aab-d150-4b22-9c08-735af228cb16"
data "CastEffect" "592c21e9-e32e-4b16-b318-2c886db55986"
data "TargetEffect" "8ff99d6b-f79d-413f-a51a-4f7ca608033a"
data "Sheathing" "DontChange"
