new entry "JWL_DiscordantInstruments_CompendiumTechniques"
type "Armor"
data "Level" "1"
data "Slot" "MusicalInstrument"
data "DefaultBoosts" "Tag(ORI_GALE_CONSUMABLEARTEFACT)"
data "ValueUUID" "9b6a4ab2-323b-4030-89ab-030252bb6214"
data "ValueOverride" "2500"
data "Rarity" "Legendary"
data "RootTemplate" "48927a1a-035b-431e-8a9f-d5894724cf43"
data "Weight" "0.5"
data "Boosts" "UnlockSpell(Zone_Cleave);UnlockSpell(Target_DisarmingStrike);UnlockSpell(Target_Slash_New);UnlockSpell(Target_PiercingThrust);UnlockSpell(Rush_SpringAttack);UnlockSpell(Target_HinderingSmash)"
data "Unique" "1"
data "UseCosts" "ReactionActionPoint:1;Attunement:4"
data "StatusOnEquip" "ATTUNEMENT4"
